date,kof,lag_kof,delta_kof,week_date
2020-12-22,70,10.833300000000001,0.15476142857142858,2020-12-21
2021-01-18,75,5,0.06666666666666667,2021-01-18
2021-03-01,64.1667,-10.833299999999994,-0.16883056164646137,2021-03-01
2021-04-19,55.8333,-8.333400000000005,-0.14925501448060574,2021-04-19
2021-05-31,45,-10.833300000000001,-0.24074000000000004,2021-05-31
2021-06-26,35,-10,-0.2857142857142857,2021-06-21
2021-07-02,30,-5,-0.16666666666666666,2021-06-28
2021-12-06,32.5,2.5,0.07692307692307693,2021-12-06
2021-12-20,42.5,10,0.23529411764705882,2021-12-20
2022-01-22,40,-2.5,-0.0625,2022-01-17
2022-02-03,32.5,-7.5,-0.23076923076923078,2022-01-31
2022-02-17,15,-17.5,-1.1666666666666667,2022-02-14
2022-04-01,0,-15,-Inf,2022-03-28
